PWSID,ZIPCODE
CA1210001,95521
CA1210001,95518
CA1210004,95501
CA1210004,95503
CA1210006,95540
CA1210009,95503
CA1210009,95501
CA1210013,95521
CA1210016,95519
CA1310001,92227
CA1310003,92233
CA1310003,92257
CA1310004,92243
CA1310005,92250
CA1310006,92251
CA1502759,93249
CA1503341,93243
CA1503341,93203
CA1503341,93307
CA1503341,93560
CA1503341,93225
CA1510001,93203
CA1510003,93309
CA1510003,93305
CA1510003,93304
CA1510003,93301
CA1510003,93306
CA1510003,93307
CA1510003,93308
CA1510003,93313
CA1510003,93518
CA1510005,93215
CA1510006,93306
CA1510006,93307
CA1510012,93241
CA1510013,93250
CA1510015,93308
CA1510017,93555
CA1510017,93556
CA1510018,93560
CA1510019,93263
CA1510021,93280
CA1510022,93251
CA1510022,93224
CA1510022,93268
CA1510022,93276
CA1510022,93252
CA1510024,93307
CA1510029,93312
CA1510029,93314
CA1510031,93309
CA1510031,93311
CA1510031,93313
CA1510031,93308
CA1510031,93312
CA1510031,93301
CA1510031,93314
CA1510032,93505
CA1510055,93308
CA1510055,93312
CA1510055,93314
CA1510701,93524
CA1610002,93204
CA1610003,93230
CA1610004,93212
CA1610005,93245
CA1610700,93246
CA1710003,95422
CA1710006,95422
CA1805007,96113
CA1900803,93551
CA1910001,91801
CA1910001,91803
CA1910003,91006
CA1910004,90715
CA1910004,90720
CA1910004,90701
CA1910004,90808
CA1910004,90716
CA1910004,90703
CA1910007,91702
CA1910007,91706
CA1910007,91741
CA1910007,91790
CA1910007,91723
CA1910007,91722
CA1910007,91740
CA1910007,91791
CA1910011,90201
CA1910013,90706
CA1910017,91390
CA1910017,91321
CA1910017,91350
CA1910017,91387
CA1910017,91351
CA1910019,90703
CA1910020,91007
CA1910020,91775
CA1910020,91780
CA1910020,91107
CA1910021,90220
CA1910021,90061
CA1910021,90222
CA1910021,90059
CA1910024,91771
CA1910024,91767
CA1910024,91784
CA1910028,91011
CA1910028,91046
CA1910028,91020
CA1910028,91208
CA1910028,91214
CA1910030,90066
CA1910030,90232
CA1910030,90230
CA1910033,90805
CA1910033,90504
CA1910033,90505
CA1910033,90744
CA1910033,90710
CA1910033,90746
CA1910033,90220
CA1910033,90745
CA1910033,90810
CA1910033,90747
CA1910033,90277
CA1910033,90501
CA1910033,90502
CA1910033,90221
CA1910033,90248
CA1910033,90503
CA1910034,90242
CA1910034,90241
CA1910034,90240
CA1910036,90033
CA1910036,90640
CA1910036,90023
CA1910036,90022
CA1910036,90032
CA1910036,90063
CA1910036,91754
CA1910036,90058
CA1910036,90040
CA1910036,90201
CA1910038,91731
CA1910038,91732
CA1910038,91733
CA1910040,90245
CA1910042,90660
CA1910043,91208
CA1910043,91214
CA1910043,91206
CA1910043,91201
CA1910043,91205
CA1910044,91740
CA1910044,91741
CA1910046,91741
CA1910046,91745
CA1910047,90260
CA1910047,90303
CA1910047,90245
CA1910047,90249
CA1910047,90266
CA1910047,90047
CA1910047,90304
CA1910047,90250
CA1910047,90278
CA1910047,90045
CA1910049,90255
CA1910050,90058
CA1910050,90201
CA1910050,90040
CA1910051,90305
CA1910051,90303
CA1910051,90302
CA1910051,90301
CA1910052,90043
CA1910052,90008
CA1910052,90056
CA1910052,92833
CA1910059,90604
CA1910059,90639
CA1910059,90605
CA1910059,90638
CA1910059,92833
CA1910059,90670
CA1910059,90620
CA1910059,90621
CA1910061,91004
CA1910061,91001
CA1910063,91001
CA1910065,90755
CA1910065,90780
CA1910065,90801
CA1910065,90803
CA1910065,90802
CA1910065,90806
CA1910065,90811
CA1910065,90810
CA1910065,90813
CA1910065,90815
CA1910065,90809
CA1910065,90808
CA1910065,90812
CA1910065,90807
CA1910065,90814
CA1910065,90805
CA1910065,90804
CA1910067,90099
CA1910067,90144
CA1910067,90015
CA1910067,90014
CA1910067,90224
CA1910067,90143
CA1910067,90049
CA1910067,90095
CA1910067,90101
CA1910067,90221
CA1910067,90100
CA1910067,90051
CA1910067,90098
CA1910067,90052
CA1910067,90097
CA1910067,90145
CA1910067,90096
CA1910067,90018
CA1910067,90050
CA1910067,90094
CA1910067,90141
CA1910067,90045
CA1910067,90069
CA1910067,90046
CA1910067,90017
CA1910067,90207
CA1910067,90140
CA1910067,90047
CA1910067,90048
CA1910067,90109
CA1910067,90103
CA1910067,90142
