PWSID,ZIPCODE
CA1210009,95534
CA1210013,95519
CA1210013,95521
CA1210013,95564
CA1210016,95519
CA1310001,92227
CA1310002,92231
CA1310004,92243
CA1310006,92251
CA1510001,93203
CA1510003,93301
CA1510003,93304
CA1510003,93305
CA1510003,93306
CA1510003,93307
CA1510003,93308
CA1510003,93309
CA1510003,93313
CA1510005,93215
CA1510006,93386
CA1510012,93241
CA1510013,93250
CA1510015,93388
CA1510017,93555
CA1510017,93556
CA1510018,93560
CA1510019,93263
CA1510021,93280
CA1510022,93268
CA1510029,93312
CA1510031,93301
CA1510031,93308
CA1510031,93309
CA1510031,93311
CA1510031,93312
CA1510031,93313
CA1510031,93314
CA1510032,93505
CA1510055,93308
CA1510055,93312
CA1510055,93314
CA1510701,93524
CA1610002,93204
CA1610003,93230
CA1610004,93212
CA1610005,93245
CA1610700,93246
CA1805004,96127
CA1910001,91801
CA1910001,91803
CA1910003,91006
CA1910003,91007
CA1910004,90701
CA1910004,90703
CA1910004,90715
CA1910004,90716
CA1910004,90720
CA1910004,90808
CA1910005,91802
CA1910007,91702
CA1910007,91706
CA1910007,91722
CA1910007,91723
CA1910007,91740
CA1910007,91741
CA1910007,91790
CA1910007,91793
CA1910009,91706
CA1910011,90201
CA1910013,90706
CA1910017,91380
CA1910019,90703
CA1910021,90220
CA1910021,90222
CA1910021,90262
CA1910022,91768
CA1910024,91773
CA1910026,90220
CA1910028,91011
CA1910028,91020
CA1910028,91046
CA1910028,91208
CA1910028,91214
CA1910030,90016
CA1910030,90230
CA1910030,90232
CA1910033,90220
CA1910033,90221
CA1910033,90248
CA1910033,90277
CA1910033,90278
CA1910033,90501
CA1910033,90502
CA1910033,90503
CA1910033,90504
CA1910033,90505
CA1910033,90710
CA1910033,90744
CA1910033,90745
CA1910033,90746
CA1910033,90747
CA1910033,90805
CA1910033,90807
CA1910033,90810
CA1910034,90241
CA1910036,90022
CA1910036,90023
CA1910036,90032
CA1910036,90033
CA1910036,90040
CA1910036,90063
CA1910036,90201
CA1910036,90640
CA1910036,91754
CA1910038,91731
CA1910039,90053
CA1910039,90601
CA1910039,90606
CA1910039,90609
CA1910039,90640
CA1910039,90660
CA1910039,90670
CA1910039,91706
CA1910039,91731
CA1910039,91732
CA1910039,91733
CA1910039,91734
CA1910039,91744
CA1910039,91745
CA1910039,91746
CA1910039,91755
CA1910039,91770
CA1910039,91776
CA1910039,91780
CA1910039,91790
CA1910040,90245
CA1910042,90660
CA1910043,91206
CA1910044,91741
CA1910047,90045
CA1910047,90047
CA1910047,90249
CA1910047,90250
CA1910047,90260
CA1910047,90278
CA1910047,90303
CA1910047,90304
CA1910049,90255
CA1910051,90301
CA1910052,91770
CA1910059,90604
CA1910059,90605
CA1910059,90620
CA1910059,90621
CA1910059,90638
CA1910059,90639
CA1910059,92833
CA1910062,91750
CA1910063,91001
CA1910065,90807
CA1910067,90001
CA1910067,90002
CA1910067,90003
CA1910067,90004
CA1910067,90005
CA1910067,90006
CA1910067,90007
CA1910067,90008
CA1910067,90010
CA1910067,90011
CA1910067,90012
CA1910067,90013
CA1910067,90014
CA1910067,90015
CA1910067,90016
CA1910067,90017
CA1910067,90018
CA1910067,90019
CA1910067,90020
CA1910067,90021
CA1910067,90022
CA1910067,90023
CA1910067,90025
CA1910067,90026
CA1910067,90027
CA1910067,90028
CA1910067,90029
CA1910067,90030
CA1910067,90031
CA1910067,90032
CA1910067,90033
CA1910067,90034
CA1910067,90035
CA1910067,90036
CA1910067,90037
CA1910067,90038
CA1910067,90039
CA1910067,90040
CA1910067,90041
CA1910067,90042
CA1910067,90044
CA1910067,90045
CA1910067,90046
CA1910067,90047
CA1910067,90048
CA1910067,90049
CA1910067,90050
CA1910067,90051
CA1910067,90052
CA1910067,90053
CA1910067,90054
CA1910067,90055
CA1910067,90056
CA1910067,90057
CA1910067,90058
CA1910067,90059
CA1910067,90061
CA1910067,90062
CA1910067,90063
CA1910067,90064
CA1910067,90065
CA1910067,90066
CA1910067,90068
CA1910067,90069
CA1910067,90071
CA1910067,90075
CA1910067,90076
CA1910067,90077
CA1910067,90089
CA1910067,90094
CA1910067,90095
CA1910067,90096
CA1910067,90097
CA1910067,90098
CA1910067,90099
CA1910067,90100
CA1910067,90101
CA1910067,90102
CA1910067,90103
CA1910067,90104
CA1910067,90105
CA1910067,90106
CA1910067,90107
CA1910067,90108
CA1910067,90109
CA1910067,90110
CA1910067,90111
CA1910067,90112
CA1910067,90113
CA1910067,90114
CA1910067,90115
CA1910067,90116
CA1910067,90117
CA1910067,90118
CA1910067,90119
CA1910067,90120
CA1910067,90121
CA1910067,90122
CA1910067,90123
CA1910067,90124
CA1910067,90125
